PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT,ADDITONAL ANCESTRY DESCRIPTION
29970928,Zhu Z,East Asian,NR,China,Chinese
29970928,Zhu Z,East Asian,NR,China,Chinese
29970928,Zhu Z,East Asian,NR,China,Chinese
29970928,Zhu Z,East Asian,NR,China,Chinese
29970928,Zhu Z,East Asian,NR,China,Chinese
29970928,Zhu Z,East Asian,NR,China,Chinese
29970889,Day FR,European,NR,NR,
29970889,Day FR,European,NR,NR,
29970889,Day FR,European,NR,NR,
29970889,Day FR,European,NR,NR,
29970889,Day FR,European,NR,NR,
29967481,Joo YB,East Asian,NR,Republic of Korea,Korean
30004843,Ge S,East Asian,NR,China,
30134085,Zhang H,African American or Afro-Caribbean,NR,U.S.,
30134085,Zhang H,European,NR,U.S.,
30045251,Lee MR,East Asian,NR,Republic of Korea,Korean
30304924,Kim HJ,East Asian,NR,Republic of Korea,Korean
30304924,Kim HJ,East Asian,NR,"Japan, Republic of Korea","Korean, Japanese"
29959729,Zhong XL,European,NR,NR,non-Hispanic Caucasian
30065583,Choi MR,East Asian,NR,NR,Korean
29947131,Smit DJA,"European, NR",NR,"Australia, U.S., Netherlands",
29942085,Nagel M,European,NR,NR,
29953918,Deng C,East Asian,NR,China,Han Chinese
29942086,Savage JE,European,NR,"U.S., Australia, Germany, Netherlands, Denmark, Sweden, U.K., NR",
29942085,Nagel M,European,NR,"U.S., Australia, Netherlands, Estonia, Finland, U.K., Italy, NR",
29942085,Nagel M,European,NR,NR,
29942085,Nagel M,European,NR,NR,
29934777,Witten A,European,NR,Germany,
29934777,Witten A,European,NR,Germany,
29931343,Haworth S,European,NR,"U.S., Australia, Germany, Netherlands, Denmark, Finland, U.K.",
29931343,Haworth S,NR,NR,"U.S., Australia, Germany, Netherlands, Denmark, Finland, U.K.",
29931343,Haworth S,European,NR,"U.S., Australia, Germany, Netherlands, Denmark, Finland, U.K.",
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29924316,Byun J,European,NR,"Canada, U.S., Iceland, Italy, NR",
29924316,Byun J,European,NR,"Canada, U.S., Iceland, Italy, NR",
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29924316,Byun J,European,NR,"Canada, U.S., Iceland, Italy, NR",
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
29921221,Cha S,East Asian,NR,Republic of Korea,Korean
