Common_name,Species_name,Infraclass,Order,N.O,Bs,Bcal,Height,Width,Mass,ECV,ModelVolume,AvgBodyMass
Yellow-footed_rock_wallaby,Petrogale_xanthopus,Marsupiala,Diprotodontia,67.27,17.94,30.8,33.66,36.19,32.39,20.99,21.59,6
Tuan,Phascogale_tapaotafa,Marsupiala,Dasyuromorphia,28.16,9.81,16.09,11.34,18.47,2.37,1.54,1.84,0.168
Koala,Phascolarctos_cinereus,Marsupiala,Diprotodontia,86.46,20.48,34.02,30.73,37.53,31.08,20.14,22.43,9.5
Common_seal,Phoca_vitulina,Placental,Carnivorans,123.14,27.79,67.69,68.06,95.18,417.02,270.19,248.88,110
Porpoise,Phocoena_phocoena,Placental,Artiodactyla,91.27,45.51,74.13,86.29,133.27,831.92,539,495.64,52.5
Ganges_river_dolphin,Platanista_gangetica_gangetica,Placental,Artiodactyla,66.54,24.39,59.4,68.56,95.18,301.58,195.39,208.24,70
Bat,Plecotus_auritus,Placental,Chiroptera,12.94,2.95,4.58,5.34,8.52,0.24,0.15,0.2,0.01
Orangutan,Pongo_pygmaeus,Placental,Primates,131.37,13.06,46.55,95.66,103.46,704.93,456.72,413.2,2.5
Giant_otter_shrew,Potamogale_velox,Placental,Afrosoricida,30.19,8.2,15.13,13.35,19.17,4.48,2.9,2.37,0.37
Rat_kangaroo,Potorous_triactylus,Marsupiala,Diprotodontia,56.85,13.54,22.78,25.11,30.31,16.97,11,11.42,1.43
Kinkajou,Potos_flavus,Placental,Carnivorans,66.24,12.27,29.89,32.77,40.36,46.84,30.35,24.82,3
Maroon_leaf_monkey,Presbytis_rubicunda,Placental,Primates,77.2,10.47,22.54,45.77,53.23,105.57,68.4,57.06,6.55
Rock_hyrax,Procavia_capensis,Placental,Hyracoidea,59.75,13.81,27.01,30.4,31.51,24.6,15.94,15.05,3.8
Racoon,Procyon_lotor,Placental,Carnivorans,73.12,15.93,31.95,34.06,47.11,59.67,38.66,33.98,8.5
Diademed_sifaka,Propithecus_diadema,Placental,Primates,71.67,12.38,28.6,35.74,47.92,68.28,44.24,36.5,4.5
Aardwolf,Proteles_cristatus,Placental,Carnivorans,87.78,19.56,39.85,36.98,49.07,64.73,41.94,41.74,11.5
Queensland_ringtail,Pseudochirus_cooki,Marsupiala,Diprotodontia,40.35,11.46,19.96,18.2,23.85,6.98,4.52,5.04,0.9
Common_ringtail,Pseudochirus_prerequinus,Marsupiala,Diprotodontia,39.68,10.8,19.76,18,21.96,6.82,4.42,4.35,0.9
Flying_fox,Pteropus_sp.,Placental,Chiroptera,48.16,8.25,18.59,18.45,24.27,10,6.48,5.54,0.8
Reindeer,Rangifer_tarandus,Placental,Artiodactyla,160.26,30.92,61.67,88.03,93.7,462.18,299.45,344.01,95.5
Common_rat,Rattus_norvegicus,Placental,Rodentia,31.8,8.34,15.76,12.95,16.86,3.05,1.98,1.9,0.3
House_rat,Rattus_rattus,Placental,Rodentia,27.67,6.34,12.87,11.45,16.43,2.38,1.54,1.54,92.5
Cream_coloured_giant_squirrel,Ratufa_affinis,Placental,Rodentia,50.41,14.98,21.32,20.53,29.2,14.75,9.56,8.41,1.75
Black_giant_squirrel,Ratufa_bicolor,Placental,Rodentia,54.96,13.67,22.61,19.8,30.62,16.84,10.91,8.96,1.75
